date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:46	702720/702720	---MCZ	200	added ('OK')	text/html	etag:cacheable:9b1f7854cd552e006f38252c94e02fcf	https://www.kenkoback.com/products/orthopedic-back-stretcher	C:/My%20Web%20Sites/back%20stretcher/www.kenkoback.com/products/orthopedic-back-stretcher.html	(from )
20:22:46	499/499	---MCZ	200	added ('OK')	text/plain	etag:cacheable:6ff245ea35ec1c055e16c7e570cde2f5	https://www.kenkoback.com/robots.txt		(from )
20:22:47	357690/357690	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:b6b4e81cf06009266a3a786026aba8ce	https://www.kenkoback.com/products/GET	C:/My%20Web%20Sites/back%20stretcher/www.kenkoback.com/products/GET	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2020:22:44%20GMT	http://cdn.shopify.com/s/files/1/0357/4556/2761/t/20/assets/prefetch.js?v=135522209823408774161671715143	C:/My%20Web%20Sites/back%20stretcher/cdn.shopify.com/s/files/1/0357/4556/2761/t/20/assets/prefetch.24520.delayed	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:49	1624/1624	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2027%20Dec%202022%2012:05:24%20GMT	https://cdn.shopify.com/s/files/1/0357/4556/2761/t/20/assets/prefetch.js?v=135522209823408774161671715143	C:/My%20Web%20Sites/back%20stretcher/cdn.shopify.com/s/files/1/0357/4556/2761/t/20/assets/prefetch4520.js	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Feb%202023%2020:22:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/back%20stretcher/www.googletagmanager.com/gtm.45445.delayed	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:49	20273/20273	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2017%20Nov%202022%2019:21:03%20GMT	https://cdn.shopify.com/s/files/1/0411/8639/4277/t/11/assets/spotlight.js	C:/My%20Web%20Sites/back%20stretcher/cdn.shopify.com/s/files/1/0411/8639/4277/t/11/assets/spotlight.js	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:49	54149/54149	---MCZ	200	added ('OK')	text/css	date:Fri,%2028%20Oct%202022%2020:14:45%20GMT	https://cdn.shopify.com/s/files/1/0411/8639/4277/t/11/assets/ymq-option.css	C:/My%20Web%20Sites/back%20stretcher/cdn.shopify.com/s/files/1/0411/8639/4277/t/11/assets/ymq-option.css	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:50	16210/16210	---MCZ	200	added ('OK')	text/css	etag:W/%224c7d-5f4bc51b1a6db-gzip%22	https://option.ymq.cool/option/bottom.css	C:/My%20Web%20Sites/back%20stretcher/option.ymq.cool/option/bottom.css	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:50	371505/371505	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268750-5f4e1f0331eae-gzip%22	https://options.ymq.cool/option/best-options.js	C:/My%20Web%20Sites/back%20stretcher/options.ymq.cool/option/best-options.js	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:51	39396/39396	---M-Z	200	added ('OK')	application/javascript	etag:%22076bc30652fd91:0%22	http://bat.bing.com/bat.js	C:/My%20Web%20Sites/back%20stretcher/bat.bing.com/bat.js	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
20:22:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2020:22:49%20GMT	http://cdn.shopify.com/s/files/1/0357/4556/2761/t/4/assets/select.png?v=16344380165374518789	C:/My%20Web%20Sites/back%20stretcher/cdn.shopify.com/s/files/1/0357/4556/2761/t/4/assets/select.a582c.delayed	(from https://www.kenkoback.com/products/orthopedic-back-stretcher)
